Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,1975 January,Domestic,Million Litres,55.8
Intake of Cows Milk by Creameries and Pasteurisers,1975 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 February,Domestic,Million Litres,84.4
Intake of Cows Milk by Creameries and Pasteurisers,1975 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 March,Domestic,Million Litres,193.3
Intake of Cows Milk by Creameries and Pasteurisers,1975 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 April,Domestic,Million Litres,327.5
Intake of Cows Milk by Creameries and Pasteurisers,1975 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 May,Domestic,Million Litres,493.5
Intake of Cows Milk by Creameries and Pasteurisers,1975 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 June,Domestic,Million Litres,494.4
Intake of Cows Milk by Creameries and Pasteurisers,1975 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 July,Domestic,Million Litres,445.3
Intake of Cows Milk by Creameries and Pasteurisers,1975 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 August,Domestic,Million Litres,411.5
Intake of Cows Milk by Creameries and Pasteurisers,1975 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 September,Domestic,Million Litres,310.8
Intake of Cows Milk by Creameries and Pasteurisers,1975 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 October,Domestic,Million Litres,216.5
Intake of Cows Milk by Creameries and Pasteurisers,1975 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 November,Domestic,Million Litres,110.5
Intake of Cows Milk by Creameries and Pasteurisers,1975 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1975 December,Domestic,Million Litres,68.5
Intake of Cows Milk by Creameries and Pasteurisers,1975 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1976 January,Domestic,Million Litres,65.4
Intake of Cows Milk by Creameries and Pasteurisers,1976 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1976 February,Domestic,Million Litres,102.7
Intake of Cows Milk by Creameries and Pasteurisers,1976 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1976 March,Domestic,Million Litres,222.8
Intake of Cows Milk by Creameries and Pasteurisers,1976 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1976 April,Domestic,Million Litres,388.4
Intake of Cows Milk by Creameries and Pasteurisers,1976 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1976 May,Domestic,Million Litres,550.5
