Month,NationalMonthlyMeanRainfallMM,NationalMonthlyMeanTempDegreesC,FatContentPercent,ProteinContentPercent
1980-01,98.26,4.306666666666667,3.71,3.15
1980-02,103.03999999999999,6.4399999999999995,3.51,3.16
1980-03,92.08666666666666,5.62,3.4,2.92
1980-04,22.873333333333335,8.813333333333333,3.3,3.03
1980-05,31.746666666666666,10.96,3.28,3.17
1980-06,74.38000000000001,12.860000000000001,3.36,3.12
1980-07,88.75333333333333,13.826666666666666,3.44,3.09
1980-08,97.59333333333333,14.96,3.53,3.17
1980-09,127.40666666666667,13.853333333333333,3.74,3.4
1980-10,133.96666666666667,9.34,4.02,3.65
1980-11,106.24,7.413333333333333,4.07,3.76
1980-12,109.03999999999999,6.766666666666667,3.81,3.34
1981-01,56.413333333333334,6.760000000000001,3.6,3.1
1981-02,72.27333333333333,5.38,3.48,3.2
1981-03,138.74666666666664,8.073333333333332,3.39,2.9
1981-04,31.71333333333333,8.693333333333333,3.32,3.15
1981-05,135.62,10.666666666666666,3.33,3.24
1981-06,73.75333333333333,12.886666666666667,3.38,3.24
1981-07,51.54666666666667,14.393333333333334,3.41,3.25
1981-08,32.17333333333333,15.860000000000001,3.5,3.25
1981-09,148.91333333333333,14.006666666666666,3.76,3.56
1981-10,101.87333333333332,7.9399999999999995,4.06,3.86
1981-11,77.4,8.513333333333334,4.11,3.94
1981-12,97.64666666666668,3.546666666666667,3.8,3.72
1982-01,90.33333333333333,5.260000000000001,3.62,3.27
1982-02,96.21333333333334,6.48,3.46,3.12
1982-03,104.00666666666666,6.52,3.36,3.03
1982-04,27.033333333333335,9.0,3.29,3.09
1982-05,70.68666666666667,10.826666666666666,3.31,3.34
1982-06,110.95333333333333,14.12,3.37,3.34
1982-07,18.413333333333334,15.6,3.42,3.3
1982-08,91.51333333333334,14.773333333333333,3.52,3.29
1982-09,94.24,13.08,3.75,3.41
1982-10,141.62,10.226666666666667,4.02,3.72
1982-11,137.83333333333334,7.34,4.12,4.04
1982-12,121.42,5.306666666666667,3.81,3.69
1983-01,118.78,6.9399999999999995,3.61,3.3
1983-02,54.093333333333334,3.966666666666667,3.52,3.1
1983-03,89.9,7.533333333333333,3.4,2.93
1983-04,68.17333333333333,6.4399999999999995,3.35,3.06
1983-05,94.23333333333333,9.746666666666666,3.34,3.21
1983-06,47.940000000000005,13.346666666666666,3.37,3.29
1983-07,28.220000000000002,17.426666666666666,3.4,3.2
