,Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE,New_Date
15660,Most Rainfall in a Day,1980M01,Belmullet,Millimetres,14.2,1980-01
15661,Most Rainfall in a Day,1980M01,Birr,Millimetres,11.9,1980-01
15662,Most Rainfall in a Day,1980M01,Valentia Observatory,Millimetres,17.8,1980-01
15663,Most Rainfall in a Day,1980M01,Casement,Millimetres,30.6,1980-01
15664,Most Rainfall in a Day,1980M01,Claremorris,Millimetres,21.3,1980-01
15665,Most Rainfall in a Day,1980M01,Clones,Millimetres,13.5,1980-01
15666,Most Rainfall in a Day,1980M01,Cork airport,Millimetres,21.1,1980-01
15667,Most Rainfall in a Day,1980M01,Dublin airport,Millimetres,30.3,1980-01
15668,Most Rainfall in a Day,1980M01,Galway,Millimetres,12.5,1980-01
15669,Most Rainfall in a Day,1980M01,Kilkenny,Millimetres,20.7,1980-01
15670,Most Rainfall in a Day,1980M01,Malin head,Millimetres,14.1,1980-01
15671,Most Rainfall in a Day,1980M01,Mullingar,Millimetres,14.6,1980-01
15672,Most Rainfall in a Day,1980M01,Roches Point,Millimetres,30.6,1980-01
15673,Most Rainfall in a Day,1980M01,Rosslare,Millimetres,35.0,1980-01
15674,Most Rainfall in a Day,1980M01,Shannon airport,Millimetres,10.2,1980-01
15675,Most Rainfall in a Day,1980M02,Belmullet,Millimetres,12.1,1980-02
15676,Most Rainfall in a Day,1980M02,Birr,Millimetres,10.3,1980-02
15677,Most Rainfall in a Day,1980M02,Valentia Observatory,Millimetres,38.0,1980-02
15678,Most Rainfall in a Day,1980M02,Casement,Millimetres,9.3,1980-02
15679,Most Rainfall in a Day,1980M02,Claremorris,Millimetres,22.2,1980-02
15680,Most Rainfall in a Day,1980M02,Clones,Millimetres,16.3,1980-02
15681,Most Rainfall in a Day,1980M02,Cork airport,Millimetres,25.6,1980-02
15682,Most Rainfall in a Day,1980M02,Dublin airport,Millimetres,12.8,1980-02
15683,Most Rainfall in a Day,1980M02,Galway,Millimetres,22.3,1980-02
15684,Most Rainfall in a Day,1980M02,Kilkenny,Millimetres,11.1,1980-02
15685,Most Rainfall in a Day,1980M02,Malin head,Millimetres,17.9,1980-02
15686,Most Rainfall in a Day,1980M02,Mullingar,Millimetres,15.2,1980-02
15687,Most Rainfall in a Day,1980M02,Roches Point,Millimetres,23.3,1980-02
15688,Most Rainfall in a Day,1980M02,Rosslare,Millimetres,21.6,1980-02
15689,Most Rainfall in a Day,1980M02,Shannon airport,Millimetres,11.5,1980-02
15690,Most Rainfall in a Day,1980M03,Belmullet,Millimetres,10.1,1980-03
15691,Most Rainfall in a Day,1980M03,Birr,Millimetres,17.0,1980-03
15692,Most Rainfall in a Day,1980M03,Valentia Observatory,Millimetres,23.1,1980-03
15693,Most Rainfall in a Day,1980M03,Casement,Millimetres,20.4,1980-03
15694,Most Rainfall in a Day,1980M03,Claremorris,Millimetres,13.8,1980-03
15695,Most Rainfall in a Day,1980M03,Clones,Millimetres,12.6,1980-03
15696,Most Rainfall in a Day,1980M03,Cork airport,Millimetres,22.3,1980-03
15697,Most Rainfall in a Day,1980M03,Dublin airport,Millimetres,20.3,1980-03
15698,Most Rainfall in a Day,1980M03,Galway,Millimetres,16.0,1980-03
15699,Most Rainfall in a Day,1980M03,Kilkenny,Millimetres,10.0,1980-03
15700,Most Rainfall in a Day,1980M03,Malin head,Millimetres,16.1,1980-03
15701,Most Rainfall in a Day,1980M03,Mullingar,Millimetres,24.2,1980-03
15702,Most Rainfall in a Day,1980M03,Roches Point,Millimetres,12.3,1980-03
15703,Most Rainfall in a Day,1980M03,Rosslare,Millimetres,14.2,1980-03
15704,Most Rainfall in a Day,1980M03,Shannon airport,Millimetres,13.5,1980-03
15705,Most Rainfall in a Day,1980M04,Belmullet,Millimetres,5.5,1980-04
15706,Most Rainfall in a Day,1980M04,Birr,Millimetres,13.7,1980-04
15707,Most Rainfall in a Day,1980M04,Valentia Observatory,Millimetres,8.7,1980-04
15708,Most Rainfall in a Day,1980M04,Casement,Millimetres,7.5,1980-04
15709,Most Rainfall in a Day,1980M04,Claremorris,Millimetres,6.1,1980-04
15710,Most Rainfall in a Day,1980M04,Clones,Millimetres,5.3,1980-04
15711,Most Rainfall in a Day,1980M04,Cork airport,Millimetres,13.6,1980-04
15712,Most Rainfall in a Day,1980M04,Dublin airport,Millimetres,6.6,1980-04
15713,Most Rainfall in a Day,1980M04,Galway,Millimetres,7.4,1980-04
15714,Most Rainfall in a Day,1980M04,Kilkenny,Millimetres,13.5,1980-04
15715,Most Rainfall in a Day,1980M04,Malin head,Millimetres,5.1,1980-04
15716,Most Rainfall in a Day,1980M04,Mullingar,Millimetres,12.3,1980-04
15717,Most Rainfall in a Day,1980M04,Roches Point,Millimetres,13.9,1980-04
15718,Most Rainfall in a Day,1980M04,Rosslare,Millimetres,9.9,1980-04
15719,Most Rainfall in a Day,1980M04,Shannon airport,Millimetres,8.2,1980-04
15720,Most Rainfall in a Day,1980M05,Belmullet,Millimetres,6.4,1980-05
15721,Most Rainfall in a Day,1980M05,Birr,Millimetres,7.5,1980-05
15722,Most Rainfall in a Day,1980M05,Valentia Observatory,Millimetres,12.4,1980-05
15723,Most Rainfall in a Day,1980M05,Casement,Millimetres,6.4,1980-05
15724,Most Rainfall in a Day,1980M05,Claremorris,Millimetres,9.6,1980-05
15725,Most Rainfall in a Day,1980M05,Clones,Millimetres,8.9,1980-05
15726,Most Rainfall in a Day,1980M05,Cork airport,Millimetres,11.2,1980-05
15727,Most Rainfall in a Day,1980M05,Dublin airport,Millimetres,12.1,1980-05
15728,Most Rainfall in a Day,1980M05,Galway,Millimetres,6.6,1980-05
15729,Most Rainfall in a Day,1980M05,Kilkenny,Millimetres,9.0,1980-05
15730,Most Rainfall in a Day,1980M05,Malin head,Millimetres,7.2,1980-05
15731,Most Rainfall in a Day,1980M05,Mullingar,Millimetres,8.4,1980-05
15732,Most Rainfall in a Day,1980M05,Roches Point,Millimetres,9.9,1980-05
15733,Most Rainfall in a Day,1980M05,Rosslare,Millimetres,8.1,1980-05
15734,Most Rainfall in a Day,1980M05,Shannon airport,Millimetres,7.0,1980-05
15735,Most Rainfall in a Day,1980M06,Belmullet,Millimetres,10.9,1980-06
15736,Most Rainfall in a Day,1980M06,Birr,Millimetres,5.4,1980-06
15737,Most Rainfall in a Day,1980M06,Valentia Observatory,Millimetres,30.7,1980-06
15738,Most Rainfall in a Day,1980M06,Casement,Millimetres,11.7,1980-06
15739,Most Rainfall in a Day,1980M06,Claremorris,Millimetres,13.4,1980-06
15740,Most Rainfall in a Day,1980M06,Clones,Millimetres,10.0,1980-06
15741,Most Rainfall in a Day,1980M06,Cork airport,Millimetres,11.8,1980-06
15742,Most Rainfall in a Day,1980M06,Dublin airport,Millimetres,13.5,1980-06
15743,Most Rainfall in a Day,1980M06,Galway,Millimetres,25.3,1980-06
15744,Most Rainfall in a Day,1980M06,Kilkenny,Millimetres,4.8,1980-06
15745,Most Rainfall in a Day,1980M06,Malin head,Millimetres,14.6,1980-06
15746,Most Rainfall in a Day,1980M06,Mullingar,Millimetres,13.2,1980-06
