,Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE,New_Date
3960,Average Maximum Temperature,1980M01,Belmullet,Degrees C,7.5,1980-01
3961,Average Maximum Temperature,1980M01,Birr,Degrees C,6.4,1980-01
3962,Average Maximum Temperature,1980M01,Valentia Observatory,Degrees C,8.9,1980-01
3963,Average Maximum Temperature,1980M01,Casement,Degrees C,6.4,1980-01
3964,Average Maximum Temperature,1980M01,Claremorris,Degrees C,6.2,1980-01
3965,Average Maximum Temperature,1980M01,Clones,Degrees C,5.4,1980-01
3966,Average Maximum Temperature,1980M01,Cork Airport,Degrees C,7.1,1980-01
3967,Average Maximum Temperature,1980M01,Dublin Airport,Degrees C,6.6,1980-01
3968,Average Maximum Temperature,1980M01,Galway,Degrees C,6.9,1980-01
3969,Average Maximum Temperature,1980M01,Kilkenny,Degrees C,6.7,1980-01
3970,Average Maximum Temperature,1980M01,Malin Head,Degrees C,6.8,1980-01
3971,Average Maximum Temperature,1980M01,Mullingar,Degrees C,5.7,1980-01
3972,Average Maximum Temperature,1980M01,Roches Point,Degrees C,7.8,1980-01
3973,Average Maximum Temperature,1980M01,Rosslare,Degrees C,7.7,1980-01
3974,Average Maximum Temperature,1980M01,Shannon Airport,Degrees C,7.1,1980-01
3975,Average Maximum Temperature,1980M02,Belmullet,Degrees C,9.3,1980-02
3976,Average Maximum Temperature,1980M02,Birr,Degrees C,9.1,1980-02
3977,Average Maximum Temperature,1980M02,Valentia Observatory,Degrees C,10.5,1980-02
3978,Average Maximum Temperature,1980M02,Casement,Degrees C,9.2,1980-02
3979,Average Maximum Temperature,1980M02,Claremorris,Degrees C,9.0,1980-02
3980,Average Maximum Temperature,1980M02,Clones,Degrees C,8.5,1980-02
3981,Average Maximum Temperature,1980M02,Cork Airport,Degrees C,9.2,1980-02
3982,Average Maximum Temperature,1980M02,Dublin Airport,Degrees C,9.1,1980-02
3983,Average Maximum Temperature,1980M02,Galway,Degrees C,9.4,1980-02
3984,Average Maximum Temperature,1980M02,Kilkenny,Degrees C,9.3,1980-02
3985,Average Maximum Temperature,1980M02,Malin Head,Degrees C,8.4,1980-02
3986,Average Maximum Temperature,1980M02,Mullingar,Degrees C,8.4,1980-02
3987,Average Maximum Temperature,1980M02,Roches Point,Degrees C,9.4,1980-02
3988,Average Maximum Temperature,1980M02,Rosslare,Degrees C,9.3,1980-02
3989,Average Maximum Temperature,1980M02,Shannon Airport,Degrees C,9.9,1980-02
3990,Average Maximum Temperature,1980M03,Belmullet,Degrees C,8.8,1980-03
3991,Average Maximum Temperature,1980M03,Birr,Degrees C,8.7,1980-03
3992,Average Maximum Temperature,1980M03,Valentia Observatory,Degrees C,9.3,1980-03
3993,Average Maximum Temperature,1980M03,Casement,Degrees C,8.6,1980-03
3994,Average Maximum Temperature,1980M03,Claremorris,Degrees C,8.4,1980-03
3995,Average Maximum Temperature,1980M03,Clones,Degrees C,8.1,1980-03
3996,Average Maximum Temperature,1980M03,Cork Airport,Degrees C,8.6,1980-03
3997,Average Maximum Temperature,1980M03,Dublin Airport,Degrees C,8.6,1980-03
3998,Average Maximum Temperature,1980M03,Galway,Degrees C,8.8,1980-03
3999,Average Maximum Temperature,1980M03,Kilkenny,Degrees C,8.8,1980-03
4000,Average Maximum Temperature,1980M03,Malin Head,Degrees C,7.8,1980-03
4001,Average Maximum Temperature,1980M03,Mullingar,Degrees C,8.2,1980-03
4002,Average Maximum Temperature,1980M03,Roches Point,Degrees C,9.0,1980-03
4003,Average Maximum Temperature,1980M03,Rosslare,Degrees C,8.8,1980-03
4004,Average Maximum Temperature,1980M03,Shannon Airport,Degrees C,9.4,1980-03
4005,Average Maximum Temperature,1980M04,Belmullet,Degrees C,12.1,1980-04
4006,Average Maximum Temperature,1980M04,Birr,Degrees C,12.9,1980-04
4007,Average Maximum Temperature,1980M04,Valentia Observatory,Degrees C,12.5,1980-04
4008,Average Maximum Temperature,1980M04,Casement,Degrees C,12.8,1980-04
4009,Average Maximum Temperature,1980M04,Claremorris,Degrees C,12.9,1980-04
4010,Average Maximum Temperature,1980M04,Clones,Degrees C,12.8,1980-04
4011,Average Maximum Temperature,1980M04,Cork Airport,Degrees C,12.5,1980-04
4012,Average Maximum Temperature,1980M04,Dublin Airport,Degrees C,12.8,1980-04
4013,Average Maximum Temperature,1980M04,Galway,Degrees C,13.1,1980-04
4014,Average Maximum Temperature,1980M04,Kilkenny,Degrees C,13.0,1980-04
4015,Average Maximum Temperature,1980M04,Malin Head,Degrees C,11.0,1980-04
4016,Average Maximum Temperature,1980M04,Mullingar,Degrees C,12.7,1980-04
4017,Average Maximum Temperature,1980M04,Roches Point,Degrees C,12.4,1980-04
4018,Average Maximum Temperature,1980M04,Rosslare,Degrees C,11.8,1980-04
4019,Average Maximum Temperature,1980M04,Shannon Airport,Degrees C,13.3,1980-04
4020,Average Maximum Temperature,1980M05,Belmullet,Degrees C,14.8,1980-05
4021,Average Maximum Temperature,1980M05,Birr,Degrees C,15.6,1980-05
4022,Average Maximum Temperature,1980M05,Valentia Observatory,Degrees C,15.1,1980-05
4023,Average Maximum Temperature,1980M05,Casement,Degrees C,15.2,1980-05
4024,Average Maximum Temperature,1980M05,Claremorris,Degrees C,15.3,1980-05
4025,Average Maximum Temperature,1980M05,Clones,Degrees C,15.5,1980-05
4026,Average Maximum Temperature,1980M05,Cork Airport,Degrees C,14.0,1980-05
4027,Average Maximum Temperature,1980M05,Dublin Airport,Degrees C,14.7,1980-05
4028,Average Maximum Temperature,1980M05,Galway,Degrees C,15.6,1980-05
4029,Average Maximum Temperature,1980M05,Kilkenny,Degrees C,15.8,1980-05
4030,Average Maximum Temperature,1980M05,Malin Head,Degrees C,13.8,1980-05
4031,Average Maximum Temperature,1980M05,Mullingar,Degrees C,15.3,1980-05
4032,Average Maximum Temperature,1980M05,Roches Point,Degrees C,13.8,1980-05
4033,Average Maximum Temperature,1980M05,Rosslare,Degrees C,13.3,1980-05
4034,Average Maximum Temperature,1980M05,Shannon Airport,Degrees C,15.9,1980-05
4035,Average Maximum Temperature,1980M06,Belmullet,Degrees C,15.2,1980-06
4036,Average Maximum Temperature,1980M06,Birr,Degrees C,16.4,1980-06
4037,Average Maximum Temperature,1980M06,Valentia Observatory,Degrees C,15.3,1980-06
4038,Average Maximum Temperature,1980M06,Casement,Degrees C,16.8,1980-06
4039,Average Maximum Temperature,1980M06,Claremorris,Degrees C,15.8,1980-06
4040,Average Maximum Temperature,1980M06,Clones,Degrees C,16.2,1980-06
4041,Average Maximum Temperature,1980M06,Cork Airport,Degrees C,15.9,1980-06
4042,Average Maximum Temperature,1980M06,Dublin Airport,Degrees C,16.4,1980-06
4043,Average Maximum Temperature,1980M06,Galway,Degrees C,16.1,1980-06
4044,Average Maximum Temperature,1980M06,Kilkenny,Degrees C,16.9,1980-06
4045,Average Maximum Temperature,1980M06,Malin Head,Degrees C,14.5,1980-06
4046,Average Maximum Temperature,1980M06,Mullingar,Degrees C,16.2,1980-06
4047,Average Maximum Temperature,1980M06,Roches Point,Degrees C,15.7,1980-06
4048,Average Maximum Temperature,1980M06,Rosslare,Degrees C,15.6,1980-06
4049,Average Maximum Temperature,1980M06,Shannon Airport,Degrees C,16.5,1980-06
4050,Average Maximum Temperature,1980M07,Belmullet,Degrees C,16.0,1980-07
4051,Average Maximum Temperature,1980M07,Birr,Degrees C,17.1,1980-07
4052,Average Maximum Temperature,1980M07,Valentia Observatory,Degrees C,16.5,1980-07
4053,Average Maximum Temperature,1980M07,Casement,Degrees C,17.4,1980-07
4054,Average Maximum Temperature,1980M07,Claremorris,Degrees C,16.7,1980-07
4055,Average Maximum Temperature,1980M07,Clones,Degrees C,16.8,1980-07
4056,Average Maximum Temperature,1980M07,Cork Airport,Degrees C,16.4,1980-07
4057,Average Maximum Temperature,1980M07,Dublin Airport,Degrees C,17.4,1980-07
4058,Average Maximum Temperature,1980M07,Galway,Degrees C,16.9,1980-07
4059,Average Maximum Temperature,1980M07,Kilkenny,Degrees C,17.5,1980-07
4060,Average Maximum Temperature,1980M07,Malin Head,Degrees C,15.4,1980-07
4061,Average Maximum Temperature,1980M07,Mullingar,Degrees C,17.0,1980-07
4062,Average Maximum Temperature,1980M07,Roches Point,Degrees C,16.5,1980-07
4063,Average Maximum Temperature,1980M07,Rosslare,Degrees C,16.3,1980-07
4064,Average Maximum Temperature,1980M07,Shannon Airport,Degrees C,17.6,1980-07
4065,Average Maximum Temperature,1980M08,Belmullet,Degrees C,17.3,1980-08
4066,Average Maximum Temperature,1980M08,Birr,Degrees C,18.6,1980-08
4067,Average Maximum Temperature,1980M08,Valentia Observatory,Degrees C,17.8,1980-08
4068,Average Maximum Temperature,1980M08,Casement,Degrees C,19.0,1980-08
4069,Average Maximum Temperature,1980M08,Claremorris,Degrees C,18.0,1980-08
4070,Average Maximum Temperature,1980M08,Clones,Degrees C,18.5,1980-08
4071,Average Maximum Temperature,1980M08,Cork Airport,Degrees C,17.8,1980-08
4072,Average Maximum Temperature,1980M08,Dublin Airport,Degrees C,18.6,1980-08
4073,Average Maximum Temperature,1980M08,Galway,Degrees C,18.3,1980-08
4074,Average Maximum Temperature,1980M08,Kilkenny,Degrees C,19.1,1980-08
4075,Average Maximum Temperature,1980M08,Malin Head,Degrees C,16.9,1980-08
4076,Average Maximum Temperature,1980M08,Mullingar,Degrees C,18.6,1980-08
4077,Average Maximum Temperature,1980M08,Roches Point,Degrees C,17.5,1980-08
4078,Average Maximum Temperature,1980M08,Rosslare,Degrees C,17.6,1980-08
4079,Average Maximum Temperature,1980M08,Shannon Airport,Degrees C,18.7,1980-08
4080,Average Maximum Temperature,1980M09,Belmullet,Degrees C,15.9,1980-09
4081,Average Maximum Temperature,1980M09,Birr,Degrees C,17.0,1980-09
4082,Average Maximum Temperature,1980M09,Valentia Observatory,Degrees C,16.4,1980-09
4083,Average Maximum Temperature,1980M09,Casement,Degrees C,17.1,1980-09
4084,Average Maximum Temperature,1980M09,Claremorris,Degrees C,16.6,1980-09
4085,Average Maximum Temperature,1980M09,Clones,Degrees C,16.6,1980-09
4086,Average Maximum Temperature,1980M09,Cork Airport,Degrees C,16.2,1980-09
4087,Average Maximum Temperature,1980M09,Dublin Airport,Degrees C,17.3,1980-09
4088,Average Maximum Temperature,1980M09,Galway,Degrees C,16.9,1980-09
4089,Average Maximum Temperature,1980M09,Kilkenny,Degrees C,17.2,1980-09
4090,Average Maximum Temperature,1980M09,Malin Head,Degrees C,16.0,1980-09
4091,Average Maximum Temperature,1980M09,Mullingar,Degrees C,16.7,1980-09
4092,Average Maximum Temperature,1980M09,Roches Point,Degrees C,16.4,1980-09
4093,Average Maximum Temperature,1980M09,Rosslare,Degrees C,16.8,1980-09
4094,Average Maximum Temperature,1980M09,Shannon Airport,Degrees C,17.4,1980-09
4095,Average Maximum Temperature,1980M10,Belmullet,Degrees C,12.2,1980-10
4096,Average Maximum Temperature,1980M10,Birr,Degrees C,12.2,1980-10
4097,Average Maximum Temperature,1980M10,Valentia Observatory,Degrees C,13.0,1980-10
4098,Average Maximum Temperature,1980M10,Casement,Degrees C,12.2,1980-10
4099,Average Maximum Temperature,1980M10,Claremorris,Degrees C,11.9,1980-10
4100,Average Maximum Temperature,1980M10,Clones,Degrees C,12.0,1980-10
4101,Average Maximum Temperature,1980M10,Cork Airport,Degrees C,12.0,1980-10
4102,Average Maximum Temperature,1980M10,Dublin Airport,Degrees C,12.2,1980-10
4103,Average Maximum Temperature,1980M10,Galway,Degrees C,12.3,1980-10
4104,Average Maximum Temperature,1980M10,Kilkenny,Degrees C,12.4,1980-10
4105,Average Maximum Temperature,1980M10,Malin Head,Degrees C,11.8,1980-10
4106,Average Maximum Temperature,1980M10,Mullingar,Degrees C,11.9,1980-10
4107,Average Maximum Temperature,1980M10,Roches Point,Degrees C,12.4,1980-10
