Key,Value
1980_Spring_2_avg_fat,3.5199999999999996
1980_Spring_3_avg_fat,3.4230000000000005
1980_Spring_4_avg_fat,3.3560000000000003
1980_Summer_5_avg_fat,3.335
1980_Summer_6_avg_fat,3.3869999999999996
1980_Summer_7_avg_fat,3.4379999999999997
1990_Spring_2_avg_fat,3.5660000000000003
1990_Spring_3_avg_fat,3.5089999999999995
1990_Spring_4_avg_fat,3.464
1990_Summer_5_avg_fat,3.4260000000000006
1990_Summer_6_avg_fat,3.4580000000000006
1990_Summer_7_avg_fat,3.5130000000000003
2000_Spring_2_avg_fat,3.8099999999999996
2000_Spring_3_avg_fat,3.7520000000000002
2000_Spring_4_avg_fat,3.6159999999999997
2000_Summer_5_avg_fat,3.5839999999999996
2000_Summer_6_avg_fat,3.6080000000000005
2000_Summer_7_avg_fat,3.659
2010_Spring_2_avg_fat,4.133000000000001
2010_Spring_3_avg_fat,4.065
2010_Spring_4_avg_fat,3.8639999999999994
2010_Summer_5_avg_fat,3.747
2010_Summer_6_avg_fat,3.782
2010_Summer_7_avg_fat,3.8550000000000004
2020_Spring_2_avg_fat,4.3933333333333335
2020_Spring_3_avg_fat,4.306666666666667
2020_Spring_4_avg_fat,3.9966666666666666
2020_Summer_5_avg_fat,3.9200000000000004
2020_Summer_6_avg_fat,3.9800000000000004
2020_Summer_7_avg_fat,4.0200000000000005
